gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,bluetopattack,bluetopdefense,bluetopmagic,bluetopdifficulty,bluetopFighter,bluetopTank,bluetopMage,bluetopAssassin,bluetopSupport,bluetopMarksman,bluetophp,bluetophpperlevel,bluetopmp,bluetopmpperlevel,bluetopmovespeed,bluetoparmor,bluetoparmorperlevel,bluetopspellblock,bluetopspellblockperlevel,bluetopattackrange,bluetophpregen,bluetophpregenperlevel,bluetopmpregen,bluetopmpregenperlevel,bluetopattackdamage,bluetopattackdamageperlevel,bluetopattackspeedperlevel,bluetopattackspeed,bluejungleattack,bluejungledefense,bluejunglemagic,bluejungledifficulty,bluejungleFighter,bluejungleTank,bluejungleMage,bluejungleAssassin,bluejungleSupport,bluejungleMarksman,bluejunglehp,bluejunglehpperlevel,bluejunglemp,bluejunglempperlevel,bluejunglemovespeed,bluejunglearmor,bluejunglearmorperlevel,bluejunglespellblock,bluejunglespellblockperlevel,bluejungleattackrange,bluejunglehpregen,bluejunglehpregenperlevel,bluejunglempregen,bluejunglempregenperlevel,bluejungleattackdamage,bluejungleattackdamageperlevel,bluejungleattackspeedperlevel,bluejungleattackspeed,bluemidattack,bluemiddefense,bluemidmagic,bluemiddifficulty,bluemidFighter,bluemidTank,bluemidMage,bluemidAssassin,bluemidSupport,bluemidMarksman,bluemidhp,bluemidhpperlevel,bluemidmp,bluemidmpperlevel,bluemidmovespeed,bluemidarmor,bluemidarmorperlevel,bluemidspellblock,bluemidspellblockperlevel,bluemidattackrange,bluemidhpregen,bluemidhpregenperlevel,bluemidmpregen,bluemidmpregenperlevel,bluemidattackdamage,bluemidattackdamageperlevel,bluemidattackspeedperlevel,bluemidattackspeed,blueadcattack,blueadcdefense,blueadcmagic,blueadcdifficulty,blueadcFighter,blueadcTank,blueadcMage,blueadcAssassin,blueadcSupport,blueadcMarksman,blueadchp,blueadchpperlevel,blueadcmp,blueadcmpperlevel,blueadcmovespeed,blueadcarmor,blueadcarmorperlevel,blueadcspellblock,blueadcspellblockperlevel,blueadcattackrange,blueadchpregen,blueadchpregenperlevel,blueadcmpregen,blueadcmpregenperlevel,blueadcattackdamage,blueadcattackdamageperlevel,blueadcattackspeedperlevel,blueadcattackspeed,bluesupportattack,bluesupportdefense,bluesupportmagic,bluesupportdifficulty,bluesupportFighter,bluesupportTank,bluesupportMage,bluesupportAssassin,bluesupportSupport,bluesupportMarksman,bluesupporthp,bluesupporthpperlevel,bluesupportmp,bluesupportmpperlevel,bluesupportmovespeed,bluesupportarmor,bluesupportarmorperlevel,bluesupportspellblock,bluesupportspellblockperlevel,bluesupportattackrange,bluesupporthpregen,bluesupporthpregenperlevel,bluesupportmpregen,bluesupportmpregenperlevel,bluesupportattackdamage,bluesupportattackdamageperlevel,bluesupportattackspeedperlevel,bluesupportattackspeed,redtopattack,redtopdefense,redtopmagic,redtopdifficulty,redtopFighter,redtopTank,redtopMage,redtopAssassin,redtopSupport,redtopMarksman,redtophp,redtophpperlevel,redtopmp,redtopmpperlevel,redtopmovespeed,redtoparmor,redtoparmorperlevel,redtopspellblock,redtopspellblockperlevel,redtopattackrange,redtophpregen,redtophpregenperlevel,redtopmpregen,redtopmpregenperlevel,redtopattackdamage,redtopattackdamageperlevel,redtopattackspeedperlevel,redtopattackspeed,redjungleattack,redjungledefense,redjunglemagic,redjungledifficulty,redjungleFighter,redjungleTank,redjungleMage,redjungleAssassin,redjungleSupport,redjungleMarksman,redjunglehp,redjunglehpperlevel,redjunglemp,redjunglempperlevel,redjunglemovespeed,redjunglearmor,redjunglearmorperlevel,redjunglespellblock,redjunglespellblockperlevel,redjungleattackrange,redjunglehpregen,redjunglehpregenperlevel,redjunglempregen,redjunglempregenperlevel,redjungleattackdamage,redjungleattackdamageperlevel,redjungleattackspeedperlevel,redjungleattackspeed,redmidattack,redmiddefense,redmidmagic,redmiddifficulty,redmidFighter,redmidTank,redmidMage,redmidAssassin,redmidSupport,redmidMarksman,redmidhp,redmidhpperlevel,redmidmp,redmidmpperlevel,redmidmovespeed,redmidarmor,redmidarmorperlevel,redmidspellblock,redmidspellblockperlevel,redmidattackrange,redmidhpregen,redmidhpregenperlevel,redmidmpregen,redmidmpregenperlevel,redmidattackdamage,redmidattackdamageperlevel,redmidattackspeedperlevel,redmidattackspeed,redadcattack,redadcdefense,redadcmagic,redadcdifficulty,redadcFighter,redadcTank,redadcMage,redadcAssassin,redadcSupport,redadcMarksman,redadchp,redadchpperlevel,redadcmp,redadcmpperlevel,redadcmovespeed,redadcarmor,redadcarmorperlevel,redadcspellblock,redadcspellblockperlevel,redadcattackrange,redadchpregen,redadchpregenperlevel,redadcmpregen,redadcmpregenperlevel,redadcattackdamage,redadcattackdamageperlevel,redadcattackspeedperlevel,redadcattackspeed,redsupportattack,redsupportdefense,redsupportmagic,redsupportdifficulty,redsupportFighter,redsupportTank,redsupportMage,redsupportAssassin,redsupportSupport,redsupportMarksman,redsupporthp,redsupporthpperlevel,redsupportmp,redsupportmpperlevel,redsupportmovespeed,redsupportarmor,redsupportarmorperlevel,redsupportspellblock,redsupportspellblockperlevel,redsupportattackrange,redsupporthpregen,redsupporthpregenperlevel,redsupportmpregen,redsupportmpregenperlevel,redsupportattackdamage,redsupportattackdamageperlevel,redsupportattackspeedperlevel,redsupportattackspeed,ratio_victoire_blueteam,ratio_victoire_redteam,diff_ratio_victoire
6390-8276,LDL,FunPlus Phoenix Blaze,Rogue Warriors Shark,Renekton,Kindred,Rumble,Aphelios,Alistar,Ornn,LeeSin,Leblanc,Ashe,Rakan,8,5,2,3,1,1,0,0,0,0,575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,69.0,3.75,2.75,0.665,8,2,2,4,0,0,0,0,0,1,540.0,85,300.0,35.0,325,29.0,3.5,30.0,0.5,500,7.0,0.55,7.0,0.4,65.0,2.5,3.5,0.625,3,6,8,10,1,0,1,0,0,0,589.0,85,100.0,0.0,345,31.0,3.5,32.1,1.25,125,8.0,0.6,0.0,0.0,61.0,3.2,1.85,0.644,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,6,9,5,7,0,1,0,0,1,0,600.0,106,350.0,40.0,330,44.0,3.5,32.1,1.25,125,8.5,0.85,8.5,0.8,62.0,3.75,2.125,0.625,5,9,3,5,1,1,0,0,0,0,590.0,95,340.6,45.0,335,33.0,4.0,32.1,1.25,175,9.0,0.9,8.01,0.6,69.0,3.5,2.0,0.625,8,5,3,6,1,0,0,1,0,0,575.0,85,200.0,0.0,345,33.0,3.7,32.1,1.25,125,7.5,0.7,50.0,0.0,70.0,3.2,3.0,0.651,1,4,10,9,0,0,1,1,0,0,528.0,92,334.0,50.0,340,21.88,3.5,30.0,0.5,525,7.5,0.55,6.0,0.8,54.88,3.5,1.4,0.625,7,3,2,4,0,0,0,0,1,1,570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,61.0,2.96,3.33,0.658,2,4,8,5,0,0,0,0,1,0,540.0,85,315.0,50.0,335,32.0,3.9,32.1,1.25,300,5.0,0.5,8.75,0.5,62.0,3.5,3.0,0.635,0.48717948717948717,0.7222222222222222,-0.23504273504273504
6459-8526,LDL,JingNetGame,Victorious Gaming,MonkeyKing,Graves,Rumble,Aphelios,Bard,Singed,Kindred,Orianna,Ashe,Thresh,8,5,2,3,1,1,0,0,0,0,540.0,85,300.0,45.0,345,31.0,3.5,28.0,1.25,175,4.0,0.65,8.0,0.65,68.0,4.0,3.0,0.711,8,5,3,3,0,0,0,0,0,1,555.0,92,325.0,40.0,340,33.0,3.4,32.0,1.25,425,8.0,0.7,8.0,0.7,68.0,3.0,2.6,0.475,3,6,8,10,1,0,1,0,0,0,589.0,85,100.0,0.0,345,31.0,3.5,32.1,1.25,125,8.0,0.6,0.0,0.0,61.0,3.2,1.85,0.644,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,4,4,5,9,0,0,1,0,1,0,560.0,89,350.0,50.0,330,34.0,4.0,30.0,0.5,500,5.5,0.55,6.0,0.45,52.0,3.0,2.0,0.625,4,8,7,5,1,1,0,0,0,0,580.0,85,330.0,45.0,345,34.0,3.5,32.1,1.25,125,9.5,0.55,7.5,0.55,63.0,3.375,1.9,0.613,8,2,2,4,0,0,0,0,0,1,540.0,85,300.0,35.0,325,29.0,3.5,30.0,0.5,500,7.0,0.55,7.0,0.4,65.0,2.5,3.5,0.625,4,3,9,7,0,0,1,0,1,0,530.0,91,418.0,25.0,325,17.04,3.0,26.0,0.5,525,7.0,0.55,8.0,0.8,40.368,2.6,3.5,0.658,7,3,2,4,0,0,0,0,1,1,570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,61.0,2.96,3.33,0.658,5,6,6,7,1,0,0,0,1,0,560.52,93,273.92,44.0,335,28.0,0.0,30.0,0.5,450,7.0,0.55,6.0,0.8,56.0,2.2,3.5,0.625,0.47692307692307695,0.45901639344262296,0.01790668348045399
ESPORTSTMNT03/1442588,CK,OZ Gaming,Awesome Spear,Karma,LeeSin,Velkoz,Ashe,Nautilus,Irelia,Nidalee,Orianna,Caitlyn,Blitzcrank,1,7,8,5,0,0,1,0,1,0,534.0,95,374.0,50.0,335,26.0,3.8,30.0,0.5,525,5.5,0.55,11.5,0.5,53.544,3.3,2.3,0.625,8,5,3,6,1,0,0,1,0,0,575.0,85,200.0,0.0,345,33.0,3.7,32.1,1.25,125,7.5,0.7,50.0,0.0,70.0,3.2,3.0,0.651,2,2,10,8,0,0,1,0,0,0,520.0,88,469.0,21.0,340,21.88,3.5,30.0,0.5,525,5.5,0.55,8.0,0.8,54.9379,3.1416,1.36,0.625,7,3,2,4,0,0,0,0,1,1,570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,61.0,2.96,3.33,0.658,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,7,4,5,5,1,0,0,1,0,0,580.0,95,350.0,30.0,335,36.0,3.0,32.0,1.25,200,8.5,0.85,8.0,0.8,63.0,4.0,2.5,0.656,5,4,7,8,0,0,1,1,0,0,545.0,85,295.6,45.0,335,28.0,3.5,30.0,0.5,525,6.0,0.6,6.0,0.8,61.0,3.5,3.22,0.638,4,3,9,7,0,0,1,0,1,0,530.0,91,418.0,25.0,325,17.04,3.0,26.0,0.5,525,7.0,0.55,8.0,0.8,40.368,2.6,3.5,0.658,8,2,2,6,0,0,0,0,0,1,510.0,93,313.7,35.0,330,28.0,3.5,30.0,0.5,650,3.5,0.55,7.4,0.55,64.0,2.88,4.0,0.681,4,8,5,4,1,1,0,0,0,0,582.6,95,267.2,40.0,325,37.0,3.5,32.1,1.25,125,8.5,0.75,8.5,0.8,61.54,3.5,1.13,0.625,0.5205479452054794,0.48717948717948717,0.033368458025992254
6172-7777,LDL,Victorious Gaming,Royal Club,Aatrox,MonkeyKing,Azir,Kalista,Fiddlesticks,Camille,Sylas,Cassiopeia,MissFortune,Thresh,8,4,3,4,1,1,0,0,0,0,580.0,90,0.0,0.0,345,38.0,3.25,32.1,1.25,175,3.0,1.0,0.0,0.0,60.0,5.0,2.5,0.651,8,5,2,3,1,1,0,0,0,0,540.0,85,300.0,45.0,345,31.0,3.5,28.0,1.25,175,4.0,0.65,8.0,0.65,68.0,4.0,3.0,0.711,6,3,8,9,0,0,1,0,0,1,552.0,92,480.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,52.0,2.8,3.0,0.625,8,2,4,7,0,0,0,0,0,1,534.0,100,250.0,45.0,325,21.0,4.0,30.0,0.5,525,3.75,0.55,6.3,0.4,69.0,3.5,4.0,0.694,2,3,9,9,0,0,1,0,1,0,580.4,92,500.0,28.0,335,34.0,3.5,30.0,0.5,480,5.5,0.6,8.0,0.8,55.36,2.625,2.11,0.625,8,6,3,4,1,1,0,0,0,0,575.6,85,338.8,32.0,340,35.0,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,68.0,3.5,2.5,0.644,3,4,8,5,0,0,1,1,0,0,525.0,115,280.0,50.0,340,27.0,4.0,32.0,1.75,175,9.0,0.9,7.0,0.8,61.0,3.0,3.5,0.645,2,3,9,10,0,0,1,0,0,0,560.0,90,350.0,40.0,328,18.0,3.5,32.0,0.5,550,5.5,0.5,8.0,0.8,53.0,3.0,1.5,0.647,8,2,5,1,0,0,0,0,0,1,570.0,93,325.84,35.0,325,28.0,3.0,30.0,0.5,550,3.75,0.65,8.042,0.65,52.0,2.7,2.25,0.656,5,6,6,7,1,0,0,0,1,0,560.52,93,273.92,44.0,335,28.0,0.0,30.0,0.5,450,7.0,0.55,6.0,0.8,56.0,2.2,3.5,0.625,0.5645161290322581,0.5166666666666667,0.0478494623655914
6418-8384,LDL,LNG Academy,WanZhen Esports Club,MonkeyKing,Graves,Galio,Ashe,Sett,Kennen,LeeSin,Syndra,Aphelios,Nautilus,8,5,2,3,1,1,0,0,0,0,540.0,85,300.0,45.0,345,31.0,3.5,28.0,1.25,175,4.0,0.65,8.0,0.65,68.0,4.0,3.0,0.711,8,5,3,3,0,0,0,0,0,1,555.0,92,325.0,40.0,340,33.0,3.4,32.0,1.25,425,8.0,0.7,8.0,0.7,68.0,3.0,2.6,0.475,1,10,6,5,0,1,1,0,0,0,562.0,112,500.0,40.0,335,24.0,3.5,32.0,1.25,150,8.0,0.8,9.5,0.7,59.0,3.5,1.5,0.625,7,3,2,4,0,0,0,0,1,1,570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,61.0,2.96,3.33,0.658,8,5,1,2,1,1,0,0,0,0,600.0,93,0.0,0.0,340,33.0,4.0,32.0,1.25,125,7.0,0.5,0.0,0.0,60.0,4.0,1.75,0.625,6,4,7,4,0,0,1,0,0,1,541.0,84,200.0,0.0,335,29.0,3.75,30.0,0.5,550,5.5,0.65,50.0,0.0,48.0,3.75,3.4,0.625,8,5,3,6,1,0,0,1,0,0,575.0,85,200.0,0.0,345,33.0,3.7,32.1,1.25,125,7.5,0.7,50.0,0.0,70.0,3.2,3.0,0.651,2,3,9,8,0,0,1,0,1,0,523.0,90,480.0,40.0,330,24.712,3.4,30.0,0.5,550,6.5,0.6,8.0,0.8,53.872,2.9,2.0,0.625,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,0.45901639344262296,0.4857142857142857,-0.02669789227166275
ESPORTSTMNT05/1540396,TRA,Team AURORA Academy,İstanbul Wildcats Academy,Renekton,Urgot,Azir,Caitlyn,Nautilus,Camille,Volibear,Syndra,Jhin,Leona,8,5,2,3,1,1,0,0,0,0,575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,69.0,3.75,2.75,0.665,8,5,3,8,1,1,0,0,0,0,585.0,88,340.0,45.0,330,36.0,4.25,32.1,1.25,350,7.5,0.7,7.25,0.8,63.0,4.0,3.75,0.625,6,3,8,9,0,0,1,0,0,1,552.0,92,480.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,52.0,2.8,3.0,0.625,8,2,2,6,0,0,0,0,0,1,510.0,93,313.7,35.0,330,28.0,3.5,30.0,0.5,650,3.5,0.55,7.4,0.55,64.0,2.88,4.0,0.681,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,8,6,3,4,1,1,0,0,0,0,575.6,85,338.8,32.0,340,35.0,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,68.0,3.5,2.5,0.644,7,7,4,3,1,1,0,0,0,0,580.0,90,350.0,50.0,340,31.0,4.0,32.0,1.25,150,9.0,0.75,6.25,0.5,60.0,3.0,2.0,0.625,2,3,9,8,0,0,1,0,1,0,523.0,90,480.0,40.0,330,24.712,3.4,30.0,0.5,550,6.5,0.6,8.0,0.8,53.872,2.9,2.0,0.625,10,2,6,6,0,0,1,0,0,1,585.0,93,300.0,50.0,330,24.0,3.5,30.0,0.5,550,3.75,0.55,6.0,0.8,59.0,4.7,0.0,0.625,4,8,3,4,0,1,0,0,1,0,576.16,87,302.2,40.0,335,47.0,3.6,32.1,1.25,125,8.5,0.85,6.0,0.8,60.04,3.0,2.9,0.625,0.5294117647058824,0.29411764705882354,0.23529411764705882
ESPORTSTMNT02/1334097,CK,Jin Air Green Wings,Spear Gaming,Mordekaiser,Trundle,Zoe,Aphelios,Nautilus,Gangplank,Elise,Pantheon,Varus,TahmKench,4,6,7,4,1,0,0,0,0,0,575.0,90,100.0,0.0,335,37.0,3.0,32.0,1.25,175,5.0,0.75,0.0,0.0,61.0,4.0,1.0,0.625,7,6,2,5,1,1,0,0,0,0,616.0,96,281.0,45.0,350,37.0,2.7,32.1,1.25,175,6.0,0.75,7.5,0.6,68.0,3.0,2.9,0.67,1,7,8,5,0,0,1,0,1,0,560.0,92,425.0,25.0,340,20.8,3.5,30.0,0.5,550,6.5,0.6,8.0,0.65,58.0,3.3,2.5,0.625,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,7,6,4,9,1,0,0,0,0,0,540.0,82,282.0,40.0,345,35.0,3.0,32.1,1.25,125,6.0,0.6,7.5,0.7,64.0,3.0,3.2,0.658,6,5,7,9,1,0,1,0,0,0,534.0,93,324.0,50.0,330,27.0,3.35,30.0,0.5,550,5.5,0.6,6.0,0.8,55.0,3.0,1.75,0.625,9,4,3,4,1,0,0,1,0,0,580.0,95,317.12,31.0,355,40.0,3.75,28.0,1.25,175,10.0,0.65,7.356,0.45,64.0,3.3,2.95,0.644,7,3,4,2,0,0,1,0,0,1,530.0,91,360.0,33.0,330,27.0,3.4,30.0,0.5,575,3.5,0.55,8.0,0.8,61.0,3.0,3.0,0.658,3,9,6,5,0,1,0,0,1,0,600.0,100,325.0,40.0,335,47.0,3.5,32.1,1.25,175,6.5,0.55,8.0,1.0,56.0,3.2,2.5,0.658,0.8260869565217391,0.2777777777777778,0.5483091787439613
ESPORTSTMNT04/1250222,TCL,Galatasaray Esports,Team AURORA,Jayce,Trundle,Orianna,Ezreal,Braum,Ornn,Nidalee,Azir,Ashe,Thresh,8,4,3,7,1,0,0,0,0,1,560.0,90,375.0,45.0,335,27.0,3.5,30.0,0.5,125,6.0,0.6,6.0,0.8,54.0,4.25,3.0,0.658,7,6,2,5,1,1,0,0,0,0,616.0,96,281.0,45.0,350,37.0,2.7,32.1,1.25,175,6.0,0.75,7.5,0.6,68.0,3.0,2.9,0.67,4,3,9,7,0,0,1,0,1,0,530.0,91,418.0,25.0,325,17.04,3.0,26.0,0.5,525,7.0,0.55,8.0,0.8,40.368,2.6,3.5,0.658,7,2,6,7,0,0,1,0,0,1,530.0,88,375.0,50.0,325,22.0,3.5,30.0,0.5,550,4.0,0.55,8.5,0.65,60.0,2.5,2.5,0.625,3,9,4,3,0,1,0,0,1,0,540.0,98,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.5,1.0,6.0,0.8,55.376,3.2,3.5,0.644,5,9,3,5,1,1,0,0,0,0,590.0,95,340.6,45.0,335,33.0,4.0,32.1,1.25,175,9.0,0.9,8.01,0.6,69.0,3.5,2.0,0.625,5,4,7,8,0,0,1,1,0,0,545.0,85,295.6,45.0,335,28.0,3.5,30.0,0.5,525,6.0,0.6,6.0,0.8,61.0,3.5,3.22,0.638,6,3,8,9,0,0,1,0,0,1,552.0,92,480.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,52.0,2.8,3.0,0.625,7,3,2,4,0,0,0,0,1,1,570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,61.0,2.96,3.33,0.658,5,6,6,7,1,0,0,0,1,0,560.52,93,273.92,44.0,335,28.0,0.0,30.0,0.5,450,7.0,0.55,6.0,0.8,56.0,2.2,3.5,0.625,0.654320987654321,0.5166666666666667,0.1376543209876543
ESPORTSTMNT01/1294233,LJL,DetonatioN FocusMe,V3 Esports,Gangplank,JarvanIV,Heimerdinger,Aphelios,Galio,Aatrox,Diana,Cassiopeia,MissFortune,Leona,7,6,4,9,1,0,0,0,0,0,540.0,82,282.0,40.0,345,35.0,3.0,32.1,1.25,125,6.0,0.6,7.5,0.7,64.0,3.0,3.2,0.658,6,8,3,5,1,1,0,0,0,0,570.0,90,300.0,40.0,340,34.0,3.6,32.1,1.25,175,8.0,0.7,6.5,0.45,64.0,3.4,2.5,0.658,2,6,8,8,0,0,1,0,1,0,488.0,87,385.0,20.0,340,19.04,3.0,30.0,0.5,550,7.0,0.55,8.0,0.8,55.536,2.7,1.36,0.625,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,1,10,6,5,0,1,1,0,0,0,562.0,112,500.0,40.0,335,24.0,3.5,32.0,1.25,150,8.0,0.8,9.5,0.7,59.0,3.5,1.5,0.625,8,4,3,4,1,1,0,0,0,0,580.0,90,0.0,0.0,345,38.0,3.25,32.1,1.25,175,3.0,1.0,0.0,0.0,60.0,5.0,2.5,0.651,7,6,8,4,1,0,1,0,0,0,570.0,95,375.0,25.0,345,31.0,3.6,32.1,1.25,150,7.5,0.85,8.0,0.8,57.0,3.0,2.25,0.625,2,3,9,10,0,0,1,0,0,0,560.0,90,350.0,40.0,328,18.0,3.5,32.0,0.5,550,5.5,0.5,8.0,0.8,53.0,3.0,1.5,0.647,8,2,5,1,0,0,0,0,0,1,570.0,93,325.84,35.0,325,28.0,3.0,30.0,0.5,550,3.75,0.65,8.042,0.65,52.0,2.7,2.25,0.656,4,8,3,4,0,1,0,0,1,0,576.16,87,302.2,40.0,335,47.0,3.6,32.1,1.25,125,8.5,0.85,6.0,0.8,60.04,3.0,2.9,0.625,0.4883720930232558,0.6708860759493671,-0.18251398292611132
ESPORTSTMNT05/1440414,LEC,G2 Esports,MAD Lions,Sett,JarvanIV,Rumble,Syndra,Rakan,Maokai,Kindred,Ornn,Aphelios,TahmKench,8,5,1,2,1,1,0,0,0,0,600.0,93,0.0,0.0,340,33.0,4.0,32.0,1.25,125,7.0,0.5,0.0,0.0,60.0,4.0,1.75,0.625,6,8,3,5,1,1,0,0,0,0,570.0,90,300.0,40.0,340,34.0,3.6,32.1,1.25,175,8.0,0.7,6.5,0.45,64.0,3.4,2.5,0.658,3,6,8,10,1,0,1,0,0,0,589.0,85,100.0,0.0,345,31.0,3.5,32.1,1.25,125,8.0,0.6,0.0,0.0,61.0,3.2,1.85,0.644,2,3,9,8,0,0,1,0,1,0,523.0,90,480.0,40.0,330,24.712,3.4,30.0,0.5,550,6.5,0.6,8.0,0.8,53.872,2.9,2.0,0.625,2,4,8,5,0,0,0,0,1,0,540.0,85,315.0,50.0,335,32.0,3.9,32.1,1.25,300,5.0,0.5,8.75,0.5,62.0,3.5,3.0,0.635,3,8,6,3,0,1,1,0,0,0,565.0,95,375.0,43.0,335,39.0,4.0,32.1,1.25,125,5.0,0.75,7.2,0.6,63.54,3.3,2.125,0.8,8,2,2,4,0,0,0,0,0,1,540.0,85,300.0,35.0,325,29.0,3.5,30.0,0.5,500,7.0,0.55,7.0,0.4,65.0,2.5,3.5,0.625,5,9,3,5,1,1,0,0,0,0,590.0,95,340.6,45.0,335,33.0,4.0,32.1,1.25,175,9.0,0.9,8.01,0.6,69.0,3.5,2.0,0.625,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,3,9,6,5,0,1,0,0,1,0,600.0,100,325.0,40.0,335,47.0,3.5,32.1,1.25,175,6.5,0.55,8.0,1.0,56.0,3.2,2.5,0.658,0.40625,0.45901639344262296,-0.05276639344262296
ESPORTSTMNT01/1390430,BRCC,Intergalaxy Tigers Gaming,Rensga eSports,Renekton,Olaf,Leblanc,MissFortune,Yuumi,Sett,JarvanIV,Orianna,Aphelios,Lulu,8,5,2,3,1,1,0,0,0,0,575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,69.0,3.75,2.75,0.665,9,5,3,3,1,1,0,0,0,0,597.24,93,315.6,42.0,350,35.0,3.0,32.1,1.25,125,8.5,0.9,7.466,0.575,68.0,3.5,2.7,0.694,1,4,10,9,0,0,1,1,0,0,528.0,92,334.0,50.0,340,21.88,3.5,30.0,0.5,525,7.5,0.55,6.0,0.8,54.88,3.5,1.4,0.625,8,2,5,1,0,0,0,0,0,1,570.0,93,325.84,35.0,325,28.0,3.0,30.0,0.5,550,3.75,0.65,8.042,0.65,52.0,2.7,2.25,0.656,5,1,8,2,0,0,1,0,1,0,480.0,70,400.0,45.0,330,25.0,3.0,25.0,0.3,500,7.0,0.55,10.0,0.4,55.0,3.1,1.0,0.625,8,5,1,2,1,1,0,0,0,0,600.0,93,0.0,0.0,340,33.0,4.0,32.0,1.25,125,7.0,0.5,0.0,0.0,60.0,4.0,1.75,0.625,6,8,3,5,1,1,0,0,0,0,570.0,90,300.0,40.0,340,34.0,3.6,32.1,1.25,175,8.0,0.7,6.5,0.45,64.0,3.4,2.5,0.658,4,3,9,7,0,0,1,0,1,0,530.0,91,418.0,25.0,325,17.04,3.0,26.0,0.5,525,7.0,0.55,8.0,0.8,40.368,2.6,3.5,0.658,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,4,5,7,5,0,0,1,0,1,0,525.0,74,350.0,55.0,330,29.0,3.7,30.0,0.5,550,6.0,0.6,11.0,0.6,47.0,2.6,2.25,0.625,0.5,0.6119402985074627,-0.11194029850746268
